R1,G1,B1,R2,G2,B2,DELTA_E,SIMILARITY
204,41,42,179,74,187,33.500476293936245,0
115,87,93,139,125,131,14.668118770612171,2
17,57,101,173,163,162,46.79767627380981,0
43,52,85,28,118,77,37.417135029426035,0
75,65,123,84,73,92,12.380677666685262,2
206,57,62,65,126,185,44.831927673924774,0
102,100,106,203,54,43,28.53285846921611,2
136,207,155,228,117,140,59.183308176257405,2
165,56,52,144,80,74,7.87066761927339,2
204,215,38,190,73,92,63.98528537128505,0
155,200,158,174,216,168,4.399230843508957,2
190,35,46,205,236,68,70.93637679154448,0
51,206,80,53,44,49,65.33394420493377,2
71,140,83,52,67,80,36.118346351677786,2
112,19,27,70,45,134,31.738472641728073,1
150,149,153,107,156,205,18.28232695041387,0
47,44,42,27,72,134,24.559207779433265,2
110,29,34,177,177,179,52.73778216841841,2
42,83,149,139,126,129,28.47550137363414,2
194,60,62,124,66,83,18.295097351302466,2
71,70,70,61,72,94,11.120525510188575,0
157,75,78,191,26,37,11.476348228261577,0
229,81,112,115,93,147,28.618864510955863,0
25,25,26,110,109,110,28.059890616476565,2
150,25,31,232,77,80,21.31947175776073,0
157,75,78,46,44,62,29.28786212801144,0
206,57,62,173,143,171,29.304698998655713,1
132,55,82,235,207,8,67.63773711675717,1
61,60,62,193,56,70,30.54156707259326,2
153,76,84,188,3,24,15.350611692260335,2
126,158,39,226,81,24,50.07383318644795,0
160,86,96,221,115,116,15.968346082564585,2
59,64,68,159,62,71,28.911943633700226,0
224,214,97,191,51,69,59.30089698973959,2
95,159,82,79,78,151,52.53281329949495,2
26,65,46,185,38,47,51.175252516206456,2
228,117,140,114,192,52,66.7855279092276,2
186,118,123,220,75,51,17.283181629293182,2
240,232,231,195,196,203,10.085550420593991,0
203,85,53,40,38,26,39.6171313033695,2
194,174,39,214,47,65,52.18231162130632,2
109,158,77,73,52,96,62.76008214413275,2
211,135,81,121,68,90,38.54659732450889,2
67,179,118,212,126,136,58.31264674939348,2
213,81,104,220,46,66,8.745111776377495,2
128,101,108,92,42,95,22.120863449113713,0
20,177,215,108,175,200,5.821243391424782,0
226,129,98,228,117,140,17.338283913804602,0
167,162,78,192,97,100,41.51598743090357,1
205,77,20,165,205,120,53.49659882190143,2
67,42,66,183,163,87,57.99753663456598,2
186,209,216,46,37,33,68.2906897596805,2
207,113,128,96,186,208,53.51821932357808,2
217,45,50,78,28,119,40.725070552223926,2
174,216,168,179,50,69,62.91501596106001,2
81,62,61,36,34,29,14.647474047969673,2
199,89,95,164,115,125,12.213614633372188,0
151,185,211,32,32,35,57.55095713196238,0
144,151,165,50,47,47,38.78456159535163,2
222,138,161,51,48,55,47.47775665919392,0
81,62,61,34,32,30,14.21103238708981,2
201,53,56,226,123,56,23.416460977113655,0
62,140,73,142,160,140,18.40693331427575,1
217,228,235,240,232,231,9.203873916120132,2
230,107,37,51,51,53,44.156123156630755,2
54,80,65,175,177,177,42.260734284774955,2
48,44,49,35,50,57,10.54839841618259,0
173,194,211,107,130,186,21.231247678513178,0
234,228,228,181,134,138,26.498273304809565,0
239,138,50,145,112,39,22.235505965620916,2
12,86,169,208,118,113,43.09711323458395,0
172,174,41,56,44,55,60.087050306524965,2
44,97,164,153,184,225,30.502611688834172,2
69,50,59,52,43,34,13.024848552967176,1
212,236,162,68,66,75,61.34707662053933,0
47,123,193,121,72,80,35.465430396929804,2
231,170,55,30,104,67,47.296377571364275,2
61,65,79,201,178,55,57.39116389517137,2
189,50,58,55,60,63,32.953498804363534,2
223,154,159,102,83,99,34.12944447582374,2
72,70,76,102,100,106,10.580764812933486,2
240,227,19,36,42,44,77.62682784356385,0
100,99,104,210,150,153,30.553927196519254,2
92,174,153,160,39,69,63.71906333802171,2
20,76,177,142,189,229,38.72157097669353,2
243,81,105,118,125,163,33.27058243165216,2
141,38,49,225,127,93,32.695514824472,2
123,125,125,11,128,26,27.27053768978936,1
71,140,83,242,215,21,37.568349985783534,2
173,23,39,53,58,131,37.403888943230065,2
230,201,34,21,58,91,76.91786553100631,1
102,47,53,26,23,29,22.09721688114489,2
53,39,30,31,86,66,29.762478983593937,0
238,118,108,43,146,188,50.97164982928851,1
218,36,64,44,88,81,51.036877794633945,2
35,34,36,177,8,26,32.82477585628924,2
159,55,84,179,226,149,68.95155487756062,2
195,196,203,160,25,44,49.13018283974834,2
51,35,37,56,57,76,12.990063606413399,2
48,169,164,107,103,98,30.629164984001655,0
98,90,135,185,38,47,32.31911644623197,2
242,246,238,144,110,66,40.20984552541566,2
90,89,87,86,77,74,5.798394771657347,2
233,198,103,110,110,111,38.019141272177144,0
57,81,124,138,39,49,33.67854733834037,2
229,204,99,51,35,37,72.41377176640795,2
138,141,144,150,185,228,19.10441602885039,2
121,72,80,95,159,82,52.25760988216691,2
51,51,53,132,173,214,48.23807686248814,2
126,65,159,62,35,108,14.77148895874269,2
149,189,161,105,50,100,54.96077843344005,0
95,58,94,52,37,44,15.167120108489323,2
122,161,190,66,78,137,31.460978308429258,0
67,179,118,132,42,49,68.43734495245509,2
247,226,76,160,204,160,24.846055215433488,2
179,36,53,194,107,132,20.603905459285333,2
217,62,78,218,222,216,43.002582600350074,1
58,56,35,12,82,183,42.45100812584921,2
80,37,43,212,126,136,37.775800697809025,2
107,102,96,46,48,52,19.76285348980887,2
165,182,201,121,190,148,26.272700254684633,0
189,38,48,245,204,33,56.42907531897881,0
42,41,41,93,178,179,50.91459402411315,2
46,65,117,202,47,53,40.452496430825775,2
77,188,181,49,58,128,53.343058731410586,2
215,69,71,193,132,137,17.375382320289216,2
197,187,85,20,175,138,29.511844678875967,0
58,56,35,242,233,230,64.11744187581237,2
86,92,105,243,204,64,52.22366871925997,2
61,72,94,151,185,211,43.305879936572936,2
44,84,63,48,46,63,27.39468217713281,2
15,117,189,198,192,181,38.43702760395413,1
156,156,153,28,26,28,46.318114271023205,2
129,100,175,208,19,24,37.79768712122244,2
65,72,87,232,206,11,61.84711187674364,2
142,28,45,172,185,145,58.00029560966646,2
214,223,79,54,53,53,67.02447932557358,2
102,135,193,33,189,122,42.001784973237065,2
51,109,189,65,225,74,62.931718780044775,0
210,26,43,75,146,207,50.148932006858914,2
153,163,180,50,36,37,47.5288975930893,2
20,177,216,81,185,233,5.511367239274528,2
132,61,63,32,88,159,34.452166862857524,0
202,146,156,51,206,80,57.75783334424288,0
210,207,198,36,136,166,33.2897699507389,2
49,35,65,73,71,73,17.842244310299016,1
30,73,127,180,109,133,36.20685561083686,0
86,77,74,53,39,30,12.920461487166609,1
110,123,110,66,86,116,24.61074420486328,0
51,206,80,77,80,85,49.669978907695544,2
37,32,50,201,42,58,37.515412767991116,0
21,67,67,213,74,114,44.54381974929963,2
36,136,166,233,233,236,36.32051713200422,2
27,72,134,118,58,150,20.579538909471882,2
220,179,24,58,45,51,63.386688006210875,0
212,236,162,59,42,37,73.21591871510549,0
111,46,51,58,52,57,19.149154322771547,0
10,126,78,229,99,20,55.65788795235824,0
49,51,58,197,198,192,58.814615555308634,0
169,22,35,66,65,63,27.73739531072959,0
230,194,202,125,89,87,34.83603553837969,0
44,88,81,117,168,209,37.7371861738362,0
59,60,61,155,163,160,39.581279123898014,0
50,50,65,50,54,62,5.254984970136138,0
150,24,26,246,244,239,59.2351233006564,0
182,33,33,241,210,157,48.35023075658094,0
54,55,76,76,76,77,12.434824886467291,0
113,122,182,189,169,16,55.54109078709186,0
208,118,113,13,139,88,56.04861614474625,0
21,58,91,231,236,200,69.87774718810839,0
8,158,199,7,77,156,31.732938862503218,2
90,89,98,76,53,65,14.740816174083836,0
130,169,213,235,105,25,44.78285352599815,0
79,56,111,56,71,94,13.174667962997093,0
175,177,177,207,44,53,36.9400960083467,0
132,61,63,228,117,140,28.29487105886166,0
75,70,71,210,74,80,30.61794610335008,0
248,135,143,70,49,113,49.99747429977151,2
177,36,55,26,75,162,39.216495193254396,0
243,228,183,173,194,211,27.58612768517841,0
95,204,240,56,31,45,73.477781130842,0
20,55,131,82,61,70,22.944471875760126,1
157,75,78,209,104,129,16.33939681049068,1
145,89,37,221,205,39,40.245471962253156,0
243,228,183,160,39,69,57.43599092854902,0
99,182,155,64,66,87,48.37293896872125,0
229,99,20,206,194,207,35.769430052020375,0
217,228,235,106,109,134,35.85345127504151,0
18,52,111,144,41,51,35.148959544457625,0
115,139,180,75,46,50,38.57695620605072,2
201,30,52,134,215,54,76.50676562054966,2
182,178,184,77,80,85,38.10607527387039,2
218,64,65,184,160,171,28.558822355523006,1
68,115,90,238,176,79,42.279875151361225,2
47,193,54,167,167,172,31.95102355332788,2
52,69,90,60,53,71,12.081807617505778,2
217,45,50,232,179,138,32.754726566035835,0
204,215,38,64,103,193,72.60502979171449,1
105,75,151,39,65,131,13.507053175022254,2
49,58,128,44,32,37,23.126257244276932,0
170,82,96,206,240,89,65.72633963399343,0
115,44,43,211,192,55,61.46719088656871,2
38,49,84,33,189,122,58.28125485256977,2
198,236,58,179,226,149,13.45799491390953,2
95,135,91,229,99,20,45.67398436158142,0
142,189,229,197,89,120,44.25142404998725,2
33,36,31,65,64,61,9.85202648247564,2
93,72,83,191,66,120,21.915915262128546,0
129,174,196,152,82,93,45.55127187051973,2
53,58,131,69,36,65,17.883551797327186,2
20,177,215,129,46,44,65.19212396392923,0
58,45,51,51,51,78,10.892512257300211,2
190,185,60,27,175,113,26.914001262492754,0
221,64,110,186,203,10,69.10650153467277,2
42,39,40,213,81,104,38.85544487790996,2
149,141,136,46,52,62,34.72181625717992,2
47,86,122,77,48,68,26.494906716402788,0
42,47,49,199,48,57,35.888449685750835,0
199,229,236,10,126,78,40.73686748462655,2
28,73,150,82,42,50,28.540805119734877,2
132,29,30,199,52,61,14.702764942908532,0
74,74,73,51,45,49,10.537225570628495,0
52,43,34,90,92,95,18.084021332556237,0
142,189,229,16,57,97,51.53238856991168,0
60,59,59,163,157,153,38.16241102768382,2
77,58,126,209,179,48,72.03096114919364,2
132,98,119,151,20,39,23.77652783847671,2
116,114,117,178,172,30,35.049403825193274,0
188,37,37,39,65,131,41.224070366868894,0
133,214,9,58,63,97,69.53652739727474,2
26,27,26,97,94,67,24.57312968610433,2
111,46,51,152,82,93,13.017585641009688,0
221,108,89,22,88,172,45.966941419454585,0
105,75,151,247,226,76,75.65539315413378,2
229,99,20,217,232,53,49.206078514785816,2
50,36,37,92,24,56,16.617335182090454,2
61,72,94,230,192,7,61.95374433903608,0
19,80,169,16,147,90,48.23132445407179,2
40,39,38,234,56,33,41.56044302176019,2
212,82,61,112,52,68,26.943024084268338,2
121,190,148,144,213,215,17.069186529940907,1
29,112,168,37,38,40,30.317114689666592,0
215,12,39,227,241,106,67.12816259176842,2
37,32,34,182,206,153,69.31346935059379,2
40,39,38,197,246,181,76.9091097212963,2
142,144,148,243,150,151,26.041281117653956,2
175,184,52,191,51,69,59.78773769839913,2
36,36,35,16,147,90,40.42237791098166,2
196,88,110,145,183,199,43.33673367421297,2
56,91,141,165,170,178,33.32142764463674,2
165,205,120,77,76,89,52.800380467899046,2
134,45,47,51,46,50,23.81164528937758,2
15,60,139,202,17,48,42.437581287652854,0
129,174,196,151,188,211,4.808090896989745,2
31,40,44,227,113,100,49.398660603338236,2
61,49,77,225,107,152,39.33190946349277,2
17,99,159,223,193,20,69.21317568930857,2
243,150,151,38,84,92,56.60220335592114,2
50,41,43,121,72,80,19.623229951951565,2
115,151,186,71,61,56,38.2120829478654,2
73,167,85,186,65,108,71.22531138508769,2
40,39,44,67,101,84,26.26582706367848,2
25,25,26,123,120,128,32.82206414652637,0
202,209,131,67,179,118,21.79063815668052,0
44,32,37,34,37,42,9.180171007737501,2
141,38,49,194,121,61,32.05950268056838,0
203,178,13,39,38,35,59.64022826136823,2
192,155,29,79,143,43,27.12376443117995,2
166,42,43,129,42,74,16.199149090349504,2
216,164,64,190,174,151,16.791032885752763,0
57,132,175,100,100,98,22.2495444753415,0
76,76,75,10,172,79,39.36019073635893,0
163,191,219,40,77,131,42.050896085797554,2
43,146,188,85,73,120,33.96688807129999,2
227,179,72,59,190,59,33.38236728927508,1
29,29,31,42,83,149,27.462738655666325,1
36,46,44,145,217,127,66.22031812471783,2
28,27,25,180,109,133,42.15423359991713,2
190,185,60,230,231,87,11.01647158381665,2
81,112,142,113,122,182,10.543717575741852,0
105,162,145,81,112,142,27.13878529183085,0
199,174,10,33,46,40,57.422148395366904,0
58,52,57,170,34,40,28.022948537588526,2
142,160,140,23,123,192,34.650954848630114,2
126,171,218,211,81,23,47.053260512972855,2
245,217,58,72,70,76,60.8861981169716,2
26,25,25,49,50,51,7.905609853892065,2
217,62,78,109,108,108,27.010021229567005,0
52,66,67,47,46,53,11.345455318377555,0
221,64,110,235,207,8,63.06048195554876,0
81,112,142,34,31,31,30.288858656517764,2
30,29,34,60,90,118,22.7229349536567,1
51,109,189,186,225,78,69.14344436753673,0
59,27,39,229,99,20,46.00892036583515,2
193,44,46,84,80,82,27.498668825082685,2
52,66,67,153,184,225,49.23019457740336,1
40,77,160,212,52,73,40.863539339062086,2
48,41,43,212,82,61,37.916924765642285,2
144,80,74,182,26,34,12.48549320751315,2
58,56,35,95,43,57,29.053753209811685,0
183,126,64,55,60,63,38.80849119653506,0
102,47,53,198,192,181,54.38950079917077,2
91,86,86,119,44,47,21.57813437887428,2
155,163,160,221,67,144,35.970767547785506,0
227,113,100,226,129,98,6.764910964687142,2
207,178,15,41,40,45,62.361918415929026,0
88,84,88,205,186,20,48.486019137333834,2
214,223,79,140,179,209,47.46541092542999,2
215,34,48,164,55,56,9.715268815267288,2
63,145,198,147,29,42,52.33529180332195,0
46,151,149,110,36,38,54.489819518650066,2
37,32,34,149,20,41,27.492933526572223,2
78,56,47,183,50,57,23.662375123736368,1
46,53,45,180,232,148,65.77362635676317,1
120,161,42,153,82,161,71.37547158664707,2
205,184,30,247,152,146,40.657993782247104,2
88,188,165,33,30,27,57.44011089027426,0
68,62,43,14,154,160,38.49893480806493,2
186,118,123,123,120,128,20.090943075992023,2
167,162,140,52,67,80,42.24850535495548,0
207,48,48,117,146,187,42.8089077652052,2
221,181,34,53,52,50,59.325251713739526,2
227,77,41,216,191,14,44.72507486438153,2
181,107,118,235,207,8,51.32389539366424,2
20,73,154,72,191,107,61.14012045959782,2
112,111,117,92,132,191,20.095610115286313,2
200,111,118,72,191,107,61.93492297611273,2
41,45,46,67,101,84,22.13598379928929,2
109,32,40,119,178,119,64.7059452302142,0
203,80,92,157,75,78,9.866730567367805,2
59,106,130,116,170,178,24.17294585923426,0
120,210,214,48,46,63,65.18280784881233,1
73,109,94,118,158,82,23.545548193411257,2
61,92,65,102,64,128,35.35639291563307,0
81,76,56,21,67,67,19.292900546429287,2
156,173,39,201,88,58,47.13364265922046,0
115,44,43,108,100,103,22.859384997166387,2
48,63,99,49,59,98,2.1207902159286465,2
183,99,115,209,219,191,45.0021232363292,0
39,30,139,32,37,31,31.90223166887216,0
95,98,119,32,37,31,26.10826990482686,1
52,150,120,239,203,9,39.92469226491122,0
222,138,161,36,33,34,51.68247162077628,2
201,53,56,33,189,122,72.53738619353527,2
76,83,83,165,170,178,34.647207183470044,2
38,49,84,221,174,143,60.58150272818931,1
205,164,123,48,63,99,53.82221560913833,2
237,117,8,243,71,113,32.20228922492668,2
30,38,41,33,33,41,6.947584358231416,1
73,69,73,47,50,51,8.553687145883945,0
142,144,148,48,169,164,22.947472319369346,0
88,115,99,76,83,83,15.036397157124107,1
39,37,39,66,56,59,8.072768066167837,0
40,39,44,210,102,93,41.626370067777884,0
64,66,87,28,41,62,9.74660914301699,2
237,169,80,48,77,147,61.58235447858873,0
143,197,97,232,112,117,58.96680156229581,2
129,206,127,77,76,89,51.81934437282354,2
49,50,53,31,52,99,16.96052539869979,2
176,178,45,205,46,52,55.4813884215351,0
175,204,57,95,43,57,72.33887505037336,2
213,81,104,211,201,63,56.97239945124548,2
178,15,23,47,51,54,33.16890559960328,2
119,171,88,30,31,28,50.83481758482695,2
219,178,179,216,164,64,28.195677864568324,2
235,207,8,216,68,68,53.84391632191535,1
38,41,44,217,232,53,77.77964175678252,2
191,193,226,64,66,87,48.62329528081467,2
49,47,29,122,122,123,28.50547528140149,2
53,44,62,110,153,88,46.87537947306708,0
154,164,80,52,74,108,54.73330504299747,2
52,145,178,160,25,44,57.96882535493876,2
212,198,56,28,100,186,67.18894308400881,2
165,35,57,93,136,199,43.96601222810092,2
20,142,74,41,38,38,40.49762533637331,2
75,77,89,225,98,47,38.91168042240056,2
108,68,87,218,195,40,61.34695271622536,2
122,18,31,150,163,102,56.27476620761361,2
54,53,53,26,135,111,33.699428949703204,2
230,54,124,93,133,171,42.43117606210665,1
112,111,117,33,36,45,25.773847701059523,2
218,102,30,58,56,35,40.13933310410682,0
40,80,81,20,76,177,25.74435702996089,2
182,206,153,144,150,183,35.797708513879904,1
16,147,90,135,62,81,61.0533983681045,2
145,217,127,128,94,107,55.39777870715654,2
204,223,179,245,125,51,39.73773543955634,2
226,207,77,42,41,31,69.74605088163986,2
215,188,14,95,135,91,31.73484568235553,2
184,28,39,154,19,37,6.755714103484462,2
192,92,143,36,37,42,38.8927371516681,0
206,240,89,70,49,113,88.12494791840201,2
31,86,66,41,40,45,25.594782221761083,2
109,32,40,85,88,113,27.175393764507085,0
101,93,43,247,226,76,43.58208596609991,1
13,97,106,82,57,114,28.82970323697541,2
77,48,68,196,202,60,71.93202188949485,1
180,73,114,129,174,196,44.85044953983672,2
92,148,184,59,57,77,36.211225627109286,2
129,169,209,83,43,45,52.6802666326614,2
188,37,37,72,129,74,57.92296663476261,2
215,12,39,115,139,180,42.55589007598552,2
210,198,106,168,17,38,58.66732254436385,2
193,73,73,36,34,29,37.242408805262876,2
186,65,108,211,36,46,17.50975972197103,2
41,41,41,48,46,45,2.1701459387470474,0
102,83,99,26,23,29,22.477540614275682,0
35,42,43,152,163,160,44.51648097343976,0
57,88,131,141,111,62,38.26743639771157,2
62,140,73,104,195,194,27.870606396347494,2
119,152,143,92,132,191,24.81968777658776,1
230,168,205,217,185,28,50.98957253424128,2
52,130,84,60,59,58,30.87752309544471,2
68,68,85,56,60,64,8.73001957197702,2
167,162,78,53,44,49,51.22250241784071,0
191,26,37,178,150,170,34.97008140089473,2
209,113,110,98,223,195,58.064952487327055,2
206,57,62,203,178,13,50.947042544366404,2
165,193,167,33,36,31,59.172313216368266,2
71,104,110,58,56,35,23.134154527074106,2
187,121,131,191,61,53,19.68628959091653,0
157,223,206,154,152,146,25.197553615008836,0
155,200,158,20,27,47,67.80835779344484,2
238,164,115,186,118,123,23.069184294062886,2
93,65,102,198,236,58,76.9204085169057,1
166,194,31,116,113,119,41.06901269687459,2
101,99,70,23,152,203,39.49046201152055,2
205,77,20,59,106,130,45.412270770867224,2
50,46,50,211,36,46,35.13414377871691,2
61,51,56,93,40,41,15.292503505151545,2
67,101,84,216,212,69,45.06956073298586,0
209,49,55,58,45,51,33.2388804784613,2
233,215,87,40,38,26,73.39387254306615,2
223,49,70,70,90,67,47.94670026758813,2
231,95,137,81,72,77,34.30347429993353,2
42,41,45,114,164,219,48.045559308734816,2
51,89,183,111,185,139,50.84013985617954,2
214,47,65,50,53,58,36.68762749546749,2
119,44,47,33,38,58,27.23682751363269,2
47,86,122,120,44,42,35.623336924147644,1
30,104,67,247,152,146,59.14472674820755,1
182,61,28,238,204,55,48.462703257724215,2
53,55,60,208,100,109,38.254148512668934,2
70,49,113,14,101,187,23.46948257526718,2
54,80,65,114,164,219,43.330303378755765,0
33,36,31,61,60,62,10.071232579957096,2
185,51,52,154,164,80,51.36300808737506,0
39,37,36,212,198,56,67.83349436379788,2
215,187,9,202,47,53,53.16840643171422,2
114,237,75,159,41,49,81.27115775858175,2
224,205,62,63,62,62,59.93967521462165,2
179,226,149,26,135,111,31.770784947196894,2
178,149,143,44,32,37,44.160059490865784,2
104,195,194,141,111,62,38.69530056724935,2
244,80,84,214,223,79,59.28276760026025,2
133,208,87,13,176,212,44.97976029800174,2
36,63,113,32,37,31,25.536727366426096,2
201,88,58,48,72,157,44.41543783635939,1
224,222,136,73,167,85,25.76332026295893,2
230,74,15,237,192,121,32.37600454659599,2
189,47,50,50,72,135,39.363279044218956,1
34,148,94,203,54,43,64.20423693398348,2
29,28,50,45,43,44,12.434416894757364,2
28,50,63,102,47,53,31.74079605472895,0
169,9,23,105,183,165,64.01694831148977,1
12,70,43,178,15,23,54.88929679517433,2
122,175,215,86,82,96,38.37850461967583,2
39,37,42,105,128,149,32.323054713077916,2
60,63,68,76,67,59,9.381360254144472,1
212,212,131,49,94,207,68.53721533006379,0
223,193,20,44,45,45,65.99086451479167,2
50,46,49,217,166,63,56.53196063785487,2
57,172,170,224,205,62,38.84087019186169,2
101,99,70,163,157,153,25.9708166007898,2
190,145,152,180,73,114,20.942309228706332,1
32,37,31,23,155,221,47.37013445584208,0
82,78,75,70,90,67,15.8654116716513,2
57,48,49,97,187,214,58.33755378433002,0
71,35,47,88,59,61,8.34228638058937,2
169,169,167,77,80,85,35.245428441017246,0
58,116,70,147,173,202,38.98175720540571,1
74,94,172,106,148,186,19.515801272313205,2
235,160,86,30,38,41,60.036259691401156,0
177,39,47,52,67,80,36.20538422478342,2
50,53,58,121,22,21,27.002932504518412,2
184,216,76,175,29,63,72.45237433452625,1
206,240,89,145,29,45,76.39613281478816,2
41,49,64,144,80,74,30.300341260470134,2
122,166,205,121,72,80,44.186680841761735,1
36,86,68,143,16,54,51.31658136442961,2
209,219,191,85,155,184,31.889329148104174,2
231,91,61,20,142,74,62.52198366620764,2
217,166,63,141,17,37,53.816548823535776,2
73,69,73,132,181,156,46.572813594342875,2
112,52,68,61,65,79,21.7986488669174,2
124,20,41,26,55,91,33.814979153551825,0
120,161,42,41,65,134,63.33570047732582,1
71,104,110,140,128,127,24.91041817533408,2
47,45,50,111,36,56,21.979867682427148,2
145,183,199,227,169,159,36.14468161765228,0
71,68,55,223,233,145,56.88715077598945,2
175,204,57,105,183,165,27.409540640170338,2
221,194,30,55,82,83,53.84288695413556,2
115,87,93,184,28,39,21.68776935106283,2
81,112,142,37,32,50,29.247058889671116,0
209,219,191,226,239,135,15.66164992305564,1
27,175,113,56,44,55,53.02503588285793,2
223,233,145,65,125,77,36.235322356514295,2
71,118,146,242,216,21,57.54384084030896,2
42,41,41,118,125,163,33.55692450525178,2
110,110,111,115,151,186,20.454607691593885,2
203,57,61,103,199,142,68.04959828884053,1
199,52,61,57,172,170,58.85471641210224,2
122,160,138,178,15,23,54.179479359950946,2
82,78,75,56,55,61,9.503896630416838,2
56,78,106,96,186,208,41.10845774766203,0
20,177,216,38,49,52,47.076472394753395,2
40,77,131,149,20,41,37.77892846805268,2
36,86,68,26,75,162,34.42245544843912,2
20,76,177,178,15,23,43.40707562124304,2
221,67,144,130,179,207,46.048779727989796,2
16,147,90,35,82,160,46.819786647767486,2
231,112,55,152,66,56,24.496067369500423,2
148,171,201,73,52,96,45.37007329823575,0
160,171,127,51,172,64,17.78510106710537,0
90,92,95,14,154,160,28.646916437493065,1
179,36,53,152,163,160,42.330834612594174,2
62,73,106,179,47,55,34.45814589307961,2
223,185,17,50,78,155,69.90329287262976,2
48,51,63,186,16,49,33.59512207143871,2
204,49,47,21,29,36,42.69939878657128,2
22,88,172,116,35,38,37.94890894284047,2
59,63,56,64,61,83,17.122231279651302,2
107,102,96,15,131,195,27.014617318194627,0
49,87,124,62,73,106,8.629037517795709,2
48,47,52,22,65,134,21.851120144639168,0
102,100,106,223,189,58,43.79953105320148,2
188,3,24,206,57,62,8.84092009723491,2
36,54,83,191,180,66,67.20031702015041,0
50,41,43,70,194,201,65.58054490640367,2
144,147,157,95,81,103,26.50614540099449,2
83,43,45,33,138,95,50.81140425263445,0
50,41,43,48,46,63,8.539972274423961,2
60,53,71,57,65,133,16.096583605764348,0
211,110,56,20,66,174,52.23590007774439,0
4,200,99,214,158,15,38.61286774219971,2
197,98,109,41,55,53,43.7476777659461,2
13,139,88,47,53,64,37.220214160133686,2
169,22,35,43,44,47,31.0164389975568,2
195,215,236,178,177,183,12.690483602069968,2
145,89,37,110,109,110,22.76639997437464,0
110,153,88,157,164,178,30.120909033001382,1
121,68,90,210,198,106,57.8495975302454,2
60,59,59,24,57,112,20.40358853222101,2
173,23,39,56,78,106,37.65536744630345,1
48,63,99,217,111,102,43.871941159493645,2
186,11,44,199,48,57,5.280669079383004,2
100,99,134,53,54,57,21.361077086060043,0
208,118,113,149,20,41,27.008178239894075,1
54,60,78,107,96,134,17.290343394911417,0
73,137,196,81,161,81,46.08921306229003,1
59,60,61,29,24,29,12.205086406563831,0
163,172,101,224,222,136,13.816446766128061,0
56,67,65,54,54,77,16.417567810510267,0
47,46,53,208,83,156,37.925989499939625,0
220,46,66,61,185,152,68.90596325495255,0
145,146,154,59,27,39,42.15984505968374,1
226,129,98,93,40,41,39.18580332623726,0
77,67,74,196,202,60,59.12055663130208,1
76,71,70,129,174,196,42.426290311243335,1
24,28,40,63,62,62,13.228053520745469,0
147,173,202,184,148,26,44.40151498500242,0
129,156,190,190,29,42,45.55252035006102,0
