R1,G1,B1,R2,G2,B2,DELTA_E,SIMILARITY
50,72,135,50,140,100,42.130907998789546,1
81,161,81,62,178,107,6.429381646950886,1
44,42,47,138,101,166,31.89646002419188,0
38,41,42,36,39,51,7.166486399110732,1
142,210,134,139,131,133,35.248761085248276,0
155,193,74,45,77,71,49.2036706981371,1
39,30,139,26,55,91,12.804120857016155,1
68,43,80,48,51,54,17.946970754833217,0
120,83,57,121,68,90,21.336302675228936,0
140,35,58,52,145,178,56.45806343836679,0
45,46,51,72,175,133,48.66110687848647,1
154,19,37,80,70,74,23.565692842414908,1
61,65,79,112,19,27,27.119804112026696,1
16,41,96,50,80,118,12.52608921964375,1
22,65,134,41,65,134,2.4821697150909543,0
49,58,128,60,59,58,23.654583712726136,0
108,175,200,124,20,41,63.34072395969232,0
29,63,133,83,119,155,18.88644825850061,1
42,41,31,110,36,38,26.703452311826922,0
31,32,26,48,51,54,8.676401479174034,1
43,146,188,147,34,38,55.796015684183104,0
190,29,42,30,104,67,59.61176602268334,1
164,170,175,137,155,184,10.687879968815293,1
12,180,51,218,121,70,55.5314579119621,0
204,215,38,167,167,172,34.265234684197104,1
34,148,94,141,111,62,30.869007322468576,1
106,144,188,114,164,124,32.89710587644306,1
45,46,51,228,113,48,46.58263327164163,1
142,28,45,217,173,179,44.718295119337625,1
42,39,40,48,118,74,34.53805270479829,0
152,46,55,117,66,84,13.446317719885325,1
123,71,103,50,72,135,22.343748313826183,0
147,29,42,197,23,22,12.563598420820584,0
234,56,33,70,194,201,57.84269134540219,0
24,28,40,192,166,67,60.93862037249548,1
232,158,154,62,58,61,50.74836265823377,1
225,111,144,208,83,156,10.722888670523758,1
49,125,100,136,26,50,56.86049088143148,0
127,49,77,53,55,61,24.377212164895404,1
183,163,87,143,131,148,34.50028463412717,0
123,171,198,41,48,64,46.04496622798597,1
92,86,102,182,61,28,30.27636172398658,1
178,110,49,13,90,54,42.613512399539644,1
113,84,92,99,40,69,14.42256825647226,1
16,177,104,53,58,131,57.44415558482399,0
59,68,64,127,178,153,42.456221650339764,1
165,170,178,41,45,46,47.84477859047712,1
49,50,53,245,204,33,69.03940420992812,1
48,137,88,211,81,23,54.90250057584499,1
207,178,15,219,39,65,53.35379507569965,1
216,11,26,48,46,72,40.1606566676534,1
73,65,24,144,80,74,27.981793481906724,1
193,73,73,132,173,214,44.98245960337798,1
80,123,101,60,53,57,33.74211342321563,1
93,40,41,57,65,133,28.635016827524595,1
178,172,30,222,202,119,11.838803251324649,1
65,66,67,51,35,37,13.29494913313209,0
169,22,35,239,197,51,57.43767388450643,0
186,120,129,189,38,48,21.55524619361232,1
83,119,155,98,111,170,7.446353175436104,0
185,191,203,64,103,193,32.52676850502221,0
129,132,146,64,61,83,26.118959158177542,1
120,83,57,48,46,63,26.85236399419574,1
39,30,139,120,44,42,34.14445379227778,1
208,234,71,215,150,98,35.33258585771048,1
56,44,55,121,135,178,34.78918728452378,1
196,88,110,15,131,195,44.95506001045158,1
139,134,157,150,185,228,20.444973430880545,1
230,195,9,50,54,62,66.43652634061057,0
111,36,56,149,50,62,9.568411243681298,1
190,36,36,84,80,82,27.64329469996745,0
235,208,37,115,87,93,53.011332948534715,1
35,50,57,44,88,81,16.801149606271014,1
81,62,61,120,210,214,59.44567139689778,0
132,61,63,74,188,100,65.63376528248664,1
113,84,92,33,38,58,22.843365094806813,1
170,178,199,194,55,50,41.05129207770206,0
139,27,42,167,162,78,54.556890090275154,1
243,65,12,230,231,87,54.16411589966792,1
14,170,95,102,68,128,52.15078679485297,1
122,91,88,58,116,70,36.862913085036084,1
158,145,179,203,54,43,35.19190771082518,1
221,64,110,132,181,156,57.604841060658515,1
26,65,46,129,169,209,48.992512929764295,1
76,53,65,81,72,77,8.803315658223015,1
45,43,44,245,217,58,74.0360148895127,0
122,206,125,144,150,183,38.97696360685409,1
126,171,218,58,56,35,53.40879213115821,1
33,147,119,225,195,10,39.36638307260261,1
130,169,213,25,123,90,36.64341120822341,1
113,197,10,26,34,41,64.80759448052778,1
221,64,110,49,47,29,44.924038677514964,1
178,191,58,172,174,41,4.939452349441802,1
47,59,73,214,223,79,70.3727669175173,0
115,151,186,135,133,141,15.373746292232786,1
125,129,128,194,55,50,30.68681422738889,0
